run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.9494097828865052,learned,0.0417689122259616,0.9869976359338062,0.91725768321513,0.9166666666666666,
1,0.9494097828865052,learned,0.0907693430781364,0.9739952718676124,0.9143026004728134,0.91371158392435,
2,0.9494097828865052,learned,0.0842445716261863,0.9881796690307328,0.91548463356974,0.9166666666666666,
3,0.9494097828865052,learned,0.0940259024500846,0.9869976359338062,0.9148936170212766,0.9143026004728134,
4,0.9494097828865052,learned,0.0766167119145393,0.9881796690307328,0.9119385342789598,0.9166666666666666,
0,0.9494097828865052,learned,0.0085731837898492,0.9858156028368794,0.91548463356974,0.9196217494089834,500.0
1,0.9494097828865052,learned,0.0088507495820522,0.9810874704491724,0.91548463356974,0.91548463356974,500.0
2,0.9494097828865052,learned,0.0081659574061632,0.9787234042553192,0.9148936170212766,0.9113475177304964,500.0
3,0.9494097828865052,learned,0.020517498254776,0.979905437352246,0.91548463356974,0.9160756501182034,265.0
4,0.9494097828865051,learned,0.013459691777825356,0.9763593380614657,0.9125295508274232,0.9078014184397163,500.0
