run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.1274685859680175,learned,0.0279158260673284,1.0,0.7627118644067796,0.6756756756756757,
1,0.1274685859680175,learned,0.0321138314902782,1.0,0.7627118644067796,0.6486486486486487,
2,0.1274685859680175,learned,0.0536305382847785,1.0,0.7796610169491526,0.7027027027027027,
3,0.1274685859680175,learned,0.0428788289427757,1.0,0.7627118644067796,0.5945945945945946,
4,0.1274685859680175,learned,0.0639212653040885,1.0,0.7796610169491526,0.6486486486486487,
0,0.1274685859680175,learned,0.025693379342556,1.0,0.7627118644067796,0.6756756756756757,
1,0.1274685859680175,learned,0.0264392346143722,1.0,0.7627118644067796,0.6486486486486487,
2,0.1274685859680175,learned,0.0541678071022033,1.0,0.7796610169491526,0.7027027027027027,
3,0.1274685859680175,learned,0.0446700528264045,1.0,0.7796610169491526,0.6216216216216216,
4,0.1274685859680175,learned,0.0285399574786424,1.0,0.7966101694915254,0.7027027027027027,
0,0.1274685859680175,learned,0.0224610343575477,1.0,0.7457627118644068,0.7567567567567567,500.0
1,0.1274685859680175,learned,0.0245108399540185,1.0,0.7627118644067796,0.6756756756756757,500.0
2,0.1274685859680175,learned,0.020909359678626,1.0,0.7627118644067796,0.7027027027027027,500.0
3,0.1274685859680175,learned,0.021270640194416,1.0,0.7288135593220338,0.6756756756756757,500.0
4,0.1274685859680175,learned,0.0222572516649961,1.0,0.7966101694915254,0.7297297297297297,500.0
0,0.1274685859680175,learned,0.0275994148105382,1.0,0.7627118644067796,0.6486486486486487,500.0
1,0.1274685859680175,learned,0.0256067086011171,1.0,0.7627118644067796,0.6756756756756757,500.0
2,0.1274685859680175,learned,0.0355924032628536,1.0,0.7796610169491526,0.6756756756756757,500.0
3,0.1274685859680175,learned,0.035577081143856,1.0,0.7288135593220338,0.6486486486486487,500.0
4,0.12746858596801758,learned,0.023728126659989357,1.0,0.7966101694915254,0.7297297297297297,500.0
