run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.9314451217651368,learned,0.2344768345355987,0.9911568570600174,0.958686671015438,0.9594144078852008,
1,0.9314451217651368,learned,0.2312992513179779,0.9792693534357784,0.9591940276871784,0.9611537904044064,
2,0.9314451217651368,learned,0.2466741502285003,0.9833285010147867,0.9570196419511487,0.9610088418611392,
3,0.9314451217651368,learned,0.2668541371822357,0.9876775877065817,0.959991302457056,0.96021162487317,
4,0.9314451217651368,learned,0.2574532926082611,0.9940562481878804,0.959121548162644,0.9601391506015364,
0,0.9314451217651368,learned,0.0290781315416097,0.987967526819368,0.9621656881930856,0.9636903899115814,
1,0.9314451217651368,learned,0.0283911302685737,0.987967526819368,0.962310647242154,0.9636179156399478,
2,0.9314451217651368,learned,0.030236929655075,0.9898521310524788,0.9619482496194824,0.9641252355413829,
3,0.9314451217651368,learned,0.0276454240083694,0.9918817048419832,0.9619482496194824,0.9635454413683142,
4,0.9314451217651368,learned,0.026085652410984,0.9840533487967528,0.9631079220120315,0.9626032758370778,
0,0.9314451217651368,learned,0.0272869672626256,0.988112496375761,0.9623831267666884,0.9636903899115814,
1,0.9314451217651368,learned,0.0279324650764465,0.9904320092780516,0.9621656881930856,0.9638353384548484,
2,0.9314451217651368,learned,0.0308056883513927,0.989997100608872,0.9618757700949482,0.9641252355413829,
3,0.9314451217651368,learned,0.0263294484466314,0.9918817048419832,0.9618757700949482,0.9635454413683142,
4,0.9314451217651368,learned,0.0256307516247034,0.9837634096839664,0.9629629629629628,0.9624583272938106,
0,0.9314451217651368,edge,0.1175345927476883,0.98622789214265,0.9601362615061244,0.9615161617625744,157.0
1,0.9314451217651368,edge,0.1455764323472976,0.9783995360974196,0.9612234543741393,0.9623133787505436,61.0
2,0.9314451217651368,edge,0.1536023169755935,0.9782545665410264,0.9615858519968108,0.9612987389476736,56.0
3,0.9314451217651368,edge,0.1202562302350997,0.988112496375761,0.9616583315213452,0.9633280185534135,160.0
4,0.9314451217651367,edge,0.11759869009256363,0.9849231661351117,0.9615858519968109,0.9625308015654442,200.0
