Cornell
Graph has fewer than 500000 nodes; don't do graph partition
Run: 0
*Epoch 0, model saved with Loss: 1.7436, Train F1: 0.5977, Val F1: 0.5593, Test F1: 0.5946
Epoch 0, Loss: 1.7436, Train F1: 0.5977, Val F1: 0.5593, Test F1: 0.5946
*Epoch 1, model saved with Loss: 2.1778, Train F1: 0.6207, Val F1: 0.5932, Test F1: 0.5676
*Epoch 6, model saved with Loss: 0.9172, Train F1: 0.8046, Val F1: 0.5932, Test F1: 0.5135
*Epoch 7, model saved with Loss: 0.8572, Train F1: 0.8506, Val F1: 0.6102, Test F1: 0.4865
*Epoch 8, model saved with Loss: 0.7476, Train F1: 0.8621, Val F1: 0.6271, Test F1: 0.5135
*Epoch 9, model saved with Loss: 1.4063, Train F1: 0.8851, Val F1: 0.6780, Test F1: 0.4595
*Epoch 10, model saved with Loss: 1.3149, Train F1: 0.8851, Val F1: 0.6949, Test F1: 0.4595
*Epoch 19, model saved with Loss: 0.6458, Train F1: 0.9540, Val F1: 0.6949, Test F1: 0.6216
*Epoch 20, model saved with Loss: 0.5954, Train F1: 0.9540, Val F1: 0.6949, Test F1: 0.6757
*Epoch 21, model saved with Loss: 0.5937, Train F1: 0.9770, Val F1: 0.7288, Test F1: 0.6757
*Epoch 22, model saved with Loss: 0.5773, Train F1: 0.9770, Val F1: 0.7288, Test F1: 0.7027
*Epoch 23, model saved with Loss: 0.5325, Train F1: 0.9885, Val F1: 0.7288, Test F1: 0.7027
*Epoch 24, model saved with Loss: 0.5363, Train F1: 0.9885, Val F1: 0.7288, Test F1: 0.7027
*Epoch 25, model saved with Loss: 0.5066, Train F1: 0.9885, Val F1: 0.7288, Test F1: 0.7027
*Epoch 26, model saved with Loss: 0.4740, Train F1: 0.9885, Val F1: 0.7288, Test F1: 0.7027
*Epoch 27, model saved with Loss: 0.4459, Train F1: 0.9885, Val F1: 0.7288, Test F1: 0.7027
*Epoch 28, model saved with Loss: 0.4227, Train F1: 0.9885, Val F1: 0.7627, Test F1: 0.7027
*Epoch 54, model saved with Loss: 0.2022, Train F1: 1.0000, Val F1: 0.7627, Test F1: 0.7297
*Epoch 55, model saved with Loss: 0.1906, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 56, model saved with Loss: 0.1930, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7297
*Epoch 57, model saved with Loss: 0.1998, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 58, model saved with Loss: 0.1781, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 59, model saved with Loss: 0.2019, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 60, model saved with Loss: 0.2028, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 61, model saved with Loss: 0.1864, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 62, model saved with Loss: 0.1932, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 63, model saved with Loss: 0.1780, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
*Epoch 64, model saved with Loss: 0.1545, Train F1: 1.0000, Val F1: 0.7797, Test F1: 0.7568
